  table_schema  |      table_name       |     column_name     |        data_type         | max_len | is_nullable 
 sales          | sales_header          | tenant_id           | uuid                     |         | NO
 sales          | sales_header          | DocumentType        | text                     |         | NO
 sales          | sales_header          | No                  | character varying        |      20 | NO
 sales          | sales_header          | SellToCustomerNo    | character varying        |      20 | NO
 sales          | sales_header          | BillToName          | character varying        |      50 | NO
 sales          | sales_header          | PostingDate         | timestamp with time zone |         | NO
 sales          | sales_header          | CreatedAt           | timestamp with time zone |         | NO
 sales          | sales_header          | UpdatedAt           | timestamp with time zone |         | NO
 security       | user                  | Id                  | uuid                     |         | NO
 security       | user                  | Username            | character varying        |      50 | NO
 security       | user                  | Email               | character varying        |     100 | NO
 security       | user                  | PasswordHash        | text                     |         | NO
 security       | user                  | IsActive            | boolean                  |         | NO
 security       | user                  | tenant_id           | uuid                     |         | NO
 security       | user                  | CreatedAt           | timestamp with time zone |         | NO
 security       | user                  | UpdatedAt           | timestamp with time zone |         | NO
(172 rows)

